,OBJECTID,siteNo,location,SiteID,Easting,Northing,Current_,pollutants,InstrumentID,Exposure,tube_kerb,rec_kerb,comments,AQMA,Detailed_Location,Tube_Height,Elevation,Grid_ID,LocationClass,LAQM_Locationclass,Survey,RouteID,RouteSequenceID,Description,DateStart,DateEnd,Colocated,Duplicate_Triplicate,obstruction_m,obstruction_lt,inlet_flow_clear,junction_m,longitude,latitude
0,1,1,Withywood School,1,356434,167823,No,BTX NO2,1,No,0.0,0.0,,Yes,,,,,Urban Traffic,Roadside,Other (DT),,,,,,,,,No,No,,-2.6277488032062446,51.407745517999835
1,2,B1,Colston Avenue,2,358628,173011,Yes,NO2,1,No,1.0,1.0,,Yes,on traffic light pedestrian crossing near statue of edmund burke,2.8,9.5,56.0,Urban Traffic,Roadside,Roadside (DT),,,,,,,,2.0,No,Yes,1.0,-2.5968139474821794,51.454556566902696
2,3,B10,Blackboy Hill,3,357448,174650,Yes,NO2,1,Yes,3.0,3.0,,No,lamppost façade domus pizza,2.8,79.2,65.0,Urban Traffic,Roadside,Roadside (DT),,,,,,,,1.0,Yes,No,32.0,-2.613994167991525,51.46920548941127
3,4,B11,Three Lamps,4,359903,171850,Yes,NO2,1,No,3.0,3.0,,Yes,On lamp post on the on the Bath Road side of the landscaped triangle in the middle of the Three Lamps junction. ,3.2,26.6,41.0,Urban Traffic,Roadside,Roadside (DT),,,,,,,,4.0,No,Yes,1.0,-2.578333463205696,51.444209895530584
4,5,B12,Bedminster Parade,5,358723,171704,Yes,NO2,1,Yes,1.0,1.0,,Yes,under clock on side of colonade  overhanging street  on lamp post,3.2,8.1,40.0,Urban Traffic,Roadside,Roadside (DT),,,,,,,,1.0,Yes,No,96.0,-2.595294420664777,51.442812042759506
5,6,B13,Church Road,6,361261,173413,No,NO2,1,Yes,3.0,3.0,,Yes,On road sign on junction of Byron Road and Church Road  immediately adjacent to Premiere Phones retail unit. Parking on site.,2.3,23.6,59.0,Urban Traffic,Roadside,Roadside (DT),,,,,,,,,No,No,,-2.558965289247974,51.458358093425005
6,7,B14,St. Andrew's Rd,7,351706,178250,No,NO2,1,No,3.0,6.0,,No,lamppost 6 outside number 38 st. andrews road,2.6,6.8,115.0,Urban Traffic,Roadside,Roadside (DT),,,,,,,,,No,No,,-2.6971476452140064,51.50110981955063
7,8,B15,Higham Street,8,359836,171903,No,NO2,1,Yes,,,To main Wells Rd. <1 to local kerb,Yes,On lamp post on edge of park  on opposite side of the road from No. 5 Higham Street. Parking on site.,2.8,35.8,41.0,Urban Background,Urban background,Roadside (DT),,,,,,,,,No,No,,-2.579303486860559,51.44468165952045
8,9,B16,B.R.I.,9,358729,173499,Yes,NO2,1,Yes,1.0,1.0,,Yes,on traffic light pole pedestrian crossing opposite BRI junction with lower maudlin street,2.4,19.9,56.0,Urban Traffic,Roadside,Roadside (DT),,,,,,,,1.0,No,Yes,15.0,-2.5954175081992816,51.45895176376313
9,10,B17,Bath Road,10,361217,171429,Yes,NO2,1,Yes,4.0,9.0,comments,Yes,On back of a no right turn sign on the left side of the Bath Road on the way up the hill outside No 453. No parking at site - park in Brislington Dep,3.2,20.3,43.0,Urban Traffic,Roadside,Roadside (DT),,,,,,,,3.0,No,Yes,150.0,-2.5593809324143635,51.440516404879745
10,11,B18,Whitefriars,11,358813,173342,Yes,NO2,1,No,5.0,5.0,Commercial property,Yes,opposite whitefriars in carpark adjacent evans cycles,3.2,8.5,56.0,Urban Traffic,Roadside,Roadside (DT),,,,,,,,1.0,Yes,No,109.0,-2.594190185154556,51.45754626447907
11,12,B19,Galleries,12,359142,173211,Yes,NO2,1,No,1.0,100.0,,Yes,on one way sign opposite police towaway sign,2.4,12.5,57.0,Urban Traffic,Roadside,Roadside (DT),,,,,,,,1.0,No,Yes,73.0,-2.5894399544611586,51.45639234685148
12,13,B2,Ferndown Close,13,354493,177489,No,NO2,1,Yes,,,,No,lamppost 6,2.3,69.1,103.0,Urban Background,Urban background,Roadside (DT),,,,,,,,,No,No,,-2.656900421884163,51.49450001199961
13,14,B20,Red Lion Knowle,14,360877,170280,Yes,NO2,1,Yes,2.0,8.0,,Yes,Outside the Imperial Guest House on telegraph pole.  Pull up at site for short period of time as no official parking and road busy.,2.4,60.6,32.0,Urban Traffic,Roadside,Roadside (DT),,,,,,,,3.0,No,Yes,267.0,-2.5641445698086747,51.43016217223045
14,15,B21,Horsefair,15,359294,173485,Yes,NO2,1,No,2.0,5.0,,Yes,Lamppost outside macdonalds near cabot circus entrance,2.2,10.3,57.0,Urban Traffic,Roadside,Roadside (DT),,,,,,,,1.0,No,Yes,160.0,-2.5872839459753796,51.4588669853932
15,16,B3,Third Way,16,352287,178698,Yes,NO2,1,No,2.0,100.0,,No,lamppost 16 anglian windows,2.7,7.6,116.0,Urban Traffic,Roadside,Roadside (DT),,,,,,,,2.0,No,Yes,315.0,-2.688839013557719,51.50518715900643
16,17,B4,Anglesea Place,17,357273,174582,No,NO2,1,No,1.0,6.0,To School building behind wall,No,lamppost achool sign,2.8,81.2,65.0,Urban Traffic,Roadside,Roadside (DT),,,,,,,,,No,No,,-2.6165052627526926,51.468580852794794
17,18,B5,Hillcrest,18,360691,170081,No,NO2,1,Yes,,,,No,Outside No. 16 on telegraph pole on corner of junction between Hillcrest and narrow back lane to rear garden area. Parking at site.,3.2,54.1,32.0,Urban Background,Urban background,Roadside (DT),,,,,,,,,No,No,,-2.5667976031020703,51.428360058828844
